sample,lati,longi,elevation,age,error,sys,ref,,,elevation,age,error,
HC1510,49.83,12.12,-1510,,5.79,The,"Stockli and Farley 2004, CG",,,-1510,81.29,5.79,
HDSP237,49.83,12.12,-2470,,5.87,The,"Stockli and Farley 2004, CG",,,-2470,82.32,5.87,
HDSP238,49.83,12.12,-2700,,5.8,The,"Stockli and Farley 2004, CG",,,-2700,82.1,5.8,
HC3180,49.83,12.12,-3180,,6.14,The,"Stockli and Farley 2004, CG",,,-3180,86.27,6.14,
HC4080,49.83,12.12,-4080,,4.32,The,"Stockli and Farley 2004, CG",,,-4080,75.25,4.32,
HC4350,49.83,12.12,-4350,,4.88,The,"Stockli and Farley 2004, CG",,,-4350,84.23,4.88,
HC4500,49.83,12.12,-4500,,4.72,The,"Stockli and Farley 2004, CG",,,-4500,66.06,4.72,
HO10B9,49.83,12.12,-4821,,3.46,The,"Stockli and Farley 2004, CG",,,-4821,49.37,3.46,
HC5200,49.83,12.12,-5200,,3.11,The,"Stockli and Farley 2004, CG",,,-5200,43.64,3.11,
HC5590,49.83,12.12,-5590,,2.09,The,"Stockli and Farley 2004, CG",,,-5590,35.42,2.09,
HC5700,49.83,12.12,-5700,,1.18,The,"Stockli and Farley 2004, CG",,,-5700,16.95,1.18,
HO27D2,49.83,12.12,-6357,,0.79,The,"Stockli and Farley 2004, CG",,,-6357,13.7,0.79,
HC7454,49.83,12.12,-7454,,0.33,The,"Stockli and Farley 2004, CG",,,-7454,4.99,0.33,
HC8402,49.83,12.12,-8402,,0.14,The,"Stockli and Farley 2004, CG",,,-8402,2.35,0.14,
HC9000,49.83,12.12,-9000,,0.33,The,"Stockli and Farley 2004, CG",,,-9000,4.23,0.33,
,49.83,12.12,-8343,,5,Mar,warnock_zeitler_1998,,,-8343,363.238,5,
,49.83,12.12,-8317,,2,Mar,warnock_zeitler_1998,,,-8317,361.806,2,
,49.83,12.12,-6014,,6,Mar,warnock_zeitler_1998,,,-6014,366.075,6,
,49.83,12.12,-5661,,2.5,Mar,warnock_zeitler_1998,,,-5661,307.023,2.5,
,49.83,12.12,-5567,,4,Mar,warnock_zeitler_1998,,,-5567,348.858,4,
,49.83,12.12,-3462,,3,Mar,warnock_zeitler_1998,,,-3462,366.011,3,
,49.83,12.12,-3264,,6,Mar,warnock_zeitler_1998,,,-3264,375.006,6,
,49.83,12.12,-2804,,7,Mar,warnock_zeitler_1998,,,-2804,362.543,7,
,49.83,12.12,-2212,,3,Mar,warnock_zeitler_1998,,,-2212,366.223,3,
,49.83,12.12,-1896,,5,Mar,warnock_zeitler_1998,,,-1896,359.022,5,
,49.83,12.12,-922,,2.5,Mar,warnock_zeitler_1998,,,-922,365.95,2.5,
,49.83,12.12,-844,,5,Mar,warnock_zeitler_1998,,,-844,354.518,5,
,49.83,12.12,-501,,5,Mar,warnock_zeitler_1998,,,-501,373.947,5,
