sample,lati,longi,elevation,age,error,sys,ref
HDSP-217,49.83,12.12,-3193,24.4,1.6,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-218,49.83,12.12,-3256,27.1,1.5,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-219,49.83,12.12,-3358,23.2,1.3,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-220,49.83,12.12,-3429,19.9,1.4,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-221,49.83,12.12,-3502,20.1,1.4,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-222,49.83,12.12,-3568,14.3,0.8,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-223,49.83,12.12,-3608,17.3,1.2,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-224,49.83,12.12,-3673,13.9,1.7,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-225,49.83,12.12,-3784,9.4,0.9,AFT,"D.A.Coyle1997, Geol Rundsch"
HDSP-227,49.83,12.12,-3887,6.2,0.5,AFT,"D.A.Coyle1997, Geol Rundsch"
KTB-172m,49.83,12.12,-172,60.5,3.9,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta"
KTB-316m,49.83,12.12,-316,50.3,3.3,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta"
KTB-435m,49.83,12.12,-435,53.5,3.5,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta"
KTB-920m,49.83,12.12,-920,61.6,4,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta"
KTB-190lm,49.83,12.12,-190,34.1,2.2,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta"
KTB-2353m,49.83,12.12,-2353,21.6,1.4,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta"
KTB-2789m,49.83,12.12,-2789,30.1,1.9,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta"
KTB-2954m,49.83,12.12,-2954,9.6,0 .5,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta"
KTB-3129m,49.83,12.12,-3129,20,1.3,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta"
KTB-3502m,49.83,12.12,-3502,8.5,0.5,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta"
KTB-3832m,49.83,12.12,-3832,6.1,0 .4,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta"
